Data;CAMBIOREAL;CDS_5_ANOS;PASSEXTERNO;TOTL;VIXFINAL;DIVBRUTA;SWAPREAL;D0804;;projeções de cambio;;;;;;;;;;;
2006Q1;97,13666667;154,9633;0,354851227;88,99;12,23;0,6675;0,109206861;0;;;;;;;;;;;;;
2006Q2;98,93333333;163,08;0,324884051;89,19;13,7;0,641366667;0,100864425;0;;;;;;;;;;;;;
2006Q3;99,48666667;137,6567;0,301666516;93,13333333;13,08;0,638233333;0,086304603;0;;;;;;;;;;;;;
2006Q4;98,54333333;109,94;0,317480223;94,7;11,19;0,644133333;0,081273541;0;;;;;;;;;;;;;
2007Q1;96,61333333;93,38333;0,313168934;95,52666667;13,49;0,6426;0,076400284;0;;;;;;;;;;;;;
2007Q2;92,40333333;69,6;0,344739098;93,48333333;14,5;0,639833333;0,074138356;0;;;;;;;;;;;;;
2007Q3;90,33666667;99,87333;0,365045421;94,16;21,63;0,624333333;0,069447278;0;;;;;;;;;;;;;
2007Q4;86,34;95,59667;0,36815315;96,14333333;21,3;0,629533333;0,069586475;0;;;;;;;;;;;;;
2008Q1;85,95666667;148,8167;0,328606144;95,34333333;26,12;0,6171;0,07087067;0;;;;;;;;;;;;;
2008Q2;84,06666667;110,5333;0,364505928;96,18333333;20,86;0,604166667;0,076297144;0;;;;;;;;;;;;;
2008Q3;83,07333333;138,96;0,210747347;101,4166667;27,66;0,5815;0,081121199;0;;;;;;;;;;;;;
2008Q4;102,6966667;350,9233;0,135831475;99,32333333;51,72;0,592733333;0,065116715;1;;;;;;;;;;;;;
2009Q1;99,42333333;357,28;0,160305972;91,14666667;45,11;0,594633333;0,048651983;0;;;;;;;;;;;;;
2009Q2;90,89;229,2667;0,240532942;93,16;30,59;0,598266667;0,044687855;0;;;;;;;;;;;;;
2009Q3;83,79;139,65;0,309612599;95,55;25,85;0,6253;0,046494789;0;;;;;;;;;;;;;
2009Q4;79,43;124,2;0,327385227;100,69;25,63;0,634;0,050335109;0;;;;;;;;;;;;;
2010Q1;79,95666667;129,3167;0,30370937;104,8133333;20,57;0,622633333;0,052884482;0;;;;;;;;;;;;;
2010Q2;77,08;131,0533;0,271209009;106,7266667;29,55;0,6455;0,057427739;0;;;;;;;;;;;;;
2010Q3;76,27666667;121,83;0,314383678;114,1866667;24,42;0,626166667;0,05192954;0;;;;;;;;;;;;;
2010Q4;74,88666667;105,5633;0,409165445;117,5233333;20,83;0,6228;0,054151318;0;;;;;;;;;;;;;
2011Q1;74,21;114,03;0,416989821;117,9733333;18,54;0,601733333;0,05719897;0;;;;;;;;;;;;;
2011Q2;72,67;108,12;0,399905712;118,9433333;15,57;0,608566667;0,059927994;0;;;;;;;;;;;;;
2011Q3;74,43666667;144,51;0,293905584;120,92;33,28;0,592133333;0,045893804;0;;;;;;;;;;;;;
2011Q4;78,55666667;163,6533;0,313661412;118,5166667;27,05;0,6024;0,036711598;0;;;;;;;;;;;;;
2012Q1;77,06666667;139,5767;0,341757144;112,1766667;17,79;0,6024;0,03048461;0;;;;;;;;;;;;;
2012Q2;84,54333333;143,47;0,290400416;113,29;19,43;0,6162;0,018057153;0;;;;;;;;;;;;;
2012Q3;86,81333333;128,8767;0,313521662;113,76;17,38;0,5953;0,014695898;0;;;;;;;;;;;;;
2012Q4;87,94333333;108,0767;0,329440413;111,3466667;17,5;0,606966667;0,013803761;0;;;;;;;;;;;;;
2013Q1;84,18333333;120,8567;0,348801945;111,6266667;14,16;0,591466667;0,018723923;0;;;;;;;;;;;;;
2013Q2;85,93666667;139,4333;0,302426639;109,49;15,56;0,584466667;0,026953209;0;;;;;;;;;;;;;
2013Q3;95,43333333;185,99;0,317937495;108,11;15,69;0,577666667;0,03378008;0;;;;;;;;;;;;;
2013Q4;94,01666667;182,57;0,305395569;109,0633333;13,72;0,588466667;0,037390631;0;;;;;;;;;;;;;
2014Q1;94;185,4467;0,336434808;108,2266667;15,43;0,577533333;0,0425034;0;;;;;;;;;;;;;
2014Q2;87,19333333;148,8533;0,365780854;106,9066667;12,13;0,581166667;0,040254019;0;;;;;;;;;;;;;
