Data;CAMBIOREAL;CDS_5_ANOS;PASSEXTERNO;TOTL;VIXFINAL;DIVBRUTA;SWAPREAL;D0804
2007Q2;92,40333333;69,6;0,344739098;93,48333333;14,5;0,639766667;0,074138356;0
2007Q3;90,33666667;99,87333;0,365045421;94,16;21,63;0,624266667;0,069447278;0
2007Q4;86,34;95,59667;0,36815315;96,14333333;21,3;0,6297;0,069586475;0
2008Q1;85,95666667;148,8167;0,328606144;95,34333333;26,12;0,617066667;0,07087067;0
2008Q2;84,06666667;110,5333;0,364505928;96,18333333;20,86;0,6041;0,076297144;0
2008Q3;83,07333333;138,96;0,210747347;101,4166667;27,66;0,582;0,081121199;0
2008Q4;102,6966667;350,9233;0,135831475;99,32333333;51,72;0,592666667;0,065116715;1
2009Q1;99,42333333;357,28;0,160305972;91,14666667;45,11;0,594766667;0,048651983;0
2009Q2;90,89;229,2667;0,240532942;93,16;30,59;0,598366667;0,044687855;0
2009Q3;83,79;139,65;0,309612599;95,55;25,85;0,625;0,046494789;0
2009Q4;79,43;124,2;0,327385227;100,69;25,63;0,633533333;0,050335109;0
2010Q1;79,95666667;129,3167;0,30370937;104,8133333;20,57;0,622633333;0,052884482;0
2010Q2;77,08;131,0533;0,271209009;106,7266667;29,55;0,645433333;0,057427739;0
2010Q3;76,27666667;121,83;0,314383678;114,1866667;24,42;0,6261;0,05192954;0
2010Q4;74,88666667;105,5633;0,409165445;117,5233333;20,83;0,623;0,054151318;0
2011Q1;74,21;114,03;0,416989821;117,9733333;18,54;0,601833333;0,05719897;0
2011Q2;72,67;108,12;0,399905712;118,9433333;15,57;0,6084;0,059927994;0
2011Q3;74,43666667;144,51;0,293905584;120,92;33,28;0,592333333;0,045893804;0
2011Q4;78,55666667;163,6533;0,313661412;118,5166667;27,05;0,602533333;0,036711598;0
2012Q1;77,06666667;139,5767;0,341757144;112,1766667;17,79;0,602066667;0,03048461;0
2012Q2;84,54333333;143,47;0,290400416;113,29;19,43;0,616433333;0,018057153;0
2012Q3;86,81333333;128,8767;0,313521662;113,76;17,38;0,5953;0,014695898;0
2012Q4;87,94333333;108,0767;0,329440413;111,3466667;17,5;0,606666667;0,013803761;0
2013Q1;84,18333333;120,8567;0,348801945;111,6266667;14,16;0,5917;0,018723923;0
2013Q2;85,93666667;139,4333;0,302426639;109,49;15,56;0,584133333;0,026953209;0
2013Q3;95,43333333;185,99;0,317937495;108,11;15,69;0,577666667;0,03378008;0
2013Q4;94,01666667;182,57;0,305395569;109,0633333;13,72;0,588533333;0,037390631;0
2014Q1;94;185,4467;0,336434808;108,2266667;15,43;0,577633333;0,0425034;0
2014Q2;87,19333333;148,8533;0,365780854;106,9066667;12,13;0,5814;0,040254019;0
2014Q3;88,61666667;145,84;0,344524579;106,07;15,08;0,5801;0,043674233;0
2014Q4;94,83333333;172,96;0,328391159;102,3033333;15,52;0,592933333;0,048839343;0
2015Q1;99,68;244,667;0,288497909;97,49333333;16,53;0,617;0,052111399;0
2015Q2;104,3133333;243,2423;0,330720008;93,18333333;15,54;0,645533333;0,062678843;0
2015Q3;118,48;353,1457;0,240878977;92,55333333;21,37;0,676366667;0,073132542;0
2015Q4;123,8466667;443;0,270495314;90,81333333;16,47;0,696333333;0,068528292;0
2016Q1;118,4366667;453,3333;0,337516819;88,13666667;18;0,7154;0,054718417;0
2016Q2;107,85;346;0,383693266;94,54333333;15,04;0,721633333;0,059216117;0
2016Q3;98,94666667;277,3333;0,38;98,79666667;13,39;0,731466667;0,067290892;0
2016Q4;97,46333333;280,3333;0,38;101,6766667;14,67;0,753566667;0,063937104;0
2017Q1;92,19;233;0,37;105,79;12,43;0,780533333;0,049394118;0
2017Q2;96,01666667;231,3333;0,37;99,99666667;10,89;0,7977;0,04040831;0
2017Q3;97,43333333;200;0,36;98,81;10,5;0,8053;0,032582306;0
2017Q4;99,67;163,6667;0,36;100,5633333;9,8;0,819133333;0,033037424;0
