Data;CAMBIOREAL;CDS_5_ANOS;PASSEXTERNO;TOTL;VIXFINAL;DIVBRUTA;SWAPREAL;D0804;;projeções de cambio;;;;;;;;;;;
2012Q1;77,06666667;139,5767;0,341757144;112,1766667;17,79;0,602066667;0,018057153;0;;;;;;;;;;;;;
2012Q2;84,54333333;143,47;0,290400416;113,2866667;19,43;0,616433333;0,014695898;0;;;;;;;;;;;;;
2012Q3;86,81333333;128,8767;0,313521662;113,76;17,38;0,5953;0,013803761;0;;;;;;;;;;;;;
2012Q4;87,94333333;108,0767;0,329440413;111,3433333;17,5;0,606666667;0,018723923;0;;;;;;;;;;;;;
2013Q1;84,18333333;120,8567;0,348801945;111,6366667;14,16;0,5917;0,026953209;0;;;59,17;;;;;;;;;;
2013Q2;85,93666667;139,4333;0,302426639;109,4966667;15,56;0,584133333;0,03378008;0;;;58,41333333;;;;;;;;;;
2013Q3;95,43333333;185,99;0,317937495;108,1166667;15,69;0,577666667;0,037390631;0;;;57,76666667;;;;;;;;;;
2013Q4;94,01666667;182,57;0,305395569;109,0633333;13,72;0,588533333;0,0425034;0;;;58,85333333;;;;;;;;;;
2014Q1;94;185,4467;0,336434808;108,2533333;15,43;0,577633333;0,040254019;0;;;57,76333333;;;;;;;;;;
2014Q2;87,19333333;148,8533;0,365780854;106,9266667;12,13;0,5814;0,043674233;0;;;58,14;;;;;;;;;;
2014Q3;88,61666667;145,84;0,344524579;106,0966667;15,08;0,5801;0,048839343;0;;;58,01;;;;;;;;;;
2014Q4;94,83333333;172,96;0,328391159;102,3266667;15,52;0,592933333;0,052111399;0;;;59,29333333;;;;;;;;;;
2015Q1;99,68;244,667;0,288497909;97,54333333;16,53;0,617;0,062678843;0;;;61,69666667;;;;;;;;;;
2015Q2;104,3133333;243,2423;0,330720008;93,23666667;15,54;0,645533333;0,073132542;0;;;64,55333333;;;;;;;;;;
2015Q3;118,48;353,1457;0,240878977;92,60333333;21,37;0,676366667;0,068528292;0;;;67,63666667;;;;;;;;;;
2015Q4;123,8466667;443;0,270495314;90,86333333;16,47;0,696333333;0,054718417;0;;;69,63666667;;;;;;;;;;
2016Q1;118,4366667;453,3333;0,337516819;88,13333333;18;0,7154;0,059216117;0;;;71,54;;;;;;;;;;
2016Q2;107,85;346;0,383693266;94,54;15,04;0,721633333;0,067290892;0;;;72,16333333;;;;;;;;;;
2016Q3;98,94666667;277,3333;0,38;98,79333333;13,39;0,731466667;0,063937104;0;;;73,15333333;;;;;;;;;;
2016Q4;97,46333333;280,3333;0,38;101,6733333;14,67;0,753566667;0,049394118;0;;;75,35666667;;;;;;;;;;
2017Q1;92,19;233;0,37;105,77;12,43;0,780533333;0,04040831;0;;92,19;78,05;;;;;;;;;;
2017Q2;96,01666667;231,3333;0,37;99,97666667;10,89;0,7977;0,032582306;0;;96,01666667;79,76333333;;;;;;;;;;
2017Q3;97,43333333;200;0,36;98,78666667;10,5;0,8053;0,033037424;0;;97,43333333;80,52666667;;;;;;;;;;
2017Q4;99,67;163,6667;0,36;100,5433333;9,8;0,819133333;0,025926298;0;;99,67;81,91;;;;117;;;;;;
2018Q1;101,3466667;152,3333;0,36;101,2633333;20;0,826366667;0,029951573;0;;101,3466667;82,64666667;;;;117;;;;;;
2018Q2;109,1566667;222,3333;0,36;99,44666667;12;0,847133333;0,034155784;0;;109,1566667;84,73333333;;;;105;;;;;;
2018Q3;113,9866667;253,6667;0,36;99,91333333;21;0,843966667;0,025861253;0;;113,9866667;84,42333333;;;;;;;;;;
2018Q4;107,51;191,6667;0,36;99,37666667;16;0,840433333;0,026202409;0;;107,51;84,05333333;;;;;;;;;;
2019Q1;106,5266667;165,6667;0,37;98,66;13;0,841833333;0,022386219;0;;106,5266667;84,15666667;;;;;;;1,12;4910892;5500199,04;
2019Q2;109,12;165,6667;0,37;100,42;13;0,842966667;0,016;0;;109,12;84,21333333;;;;;;;1,1;4843135;5327448,5;4843135
2019Q3;110,06;137;0,37;101,9266667;16;0,850766667;0,01;0;;110,06;84,97;;;;;;;1,115;4745456;5291183,44;4745456
2019Q4;112,47;120;0,38;99,58;18;0,862333333;0,0056;0;;112,47;86,18666667;4,64;120,77;;;;;1,109;4647673;5154269,357;4647673
2020Q1;120,77;166;0,38;100,21;24;0,8635;-0,003875969;0;;120,77;86,57;x;101,7;0,001438471;;;;1,09;4888260;5328203,4;4888260
2020Q2;131,0976906;273;0,37;96,59666667;NA;0,8819;-0,004365939;0;;131,0976906;88,86666667;;;-0,000825805;;;;1,12;4430750;4962440;4430750
2020Q3;148;225;0,37;98,65666667;NA;0,894333333;-0,00480723;0;;139,3514021;90,63;3,907327979;;-0,001384238;;;;1,17;4527815;5297543,55;4527815
2020Q4;148;174;0,37;107,5;NA;0,9408;0,007011883;0;;153,0754853;95,73333333;;;-0,001243021;;;;1,22;4504722;5495760,84;4504722
2021Q1;149,35;194;0,37;118,3666667;NA;0,961066667;0,020815184;0;;142,8159795;98,37666667;;;0,00183;;;;;;;
2021Q2;143,97;174;0,37;118,9333333;NA;0,9203;0,034008002;0;;141,8709188;94,44333333;;;0,002882844;;;;;;;
2021Q3;140;183;0,36;118,07;NA;0,910433333;0,056002543;0;;133,9330381;93,27666667;;;0,003708946;;;;;;;
2021Q4;144,6;232;0,37;106,9466667;NA;0,894;0,064;0;;131,2798289;91,63666667;;;0,004333377;;;;;;;
2022Q1;134,6;216;0,38;106,81;;0,891533333;0,077;0;;136,9948199;91,26;;;0,004687077;;;;;;;
2022Q2;121,94;250;0,38;105,3;;0,881033333;0,077;0;;123,8630618;89,445;;;0,005164088;;148,59;5,5;;;;
2022Q3;129,8;273;0,37;108,15;;0,859433333;0,077;0;;112,5757194;;;;0,005643511;;105;;;;;
2022Q4;128;259;0,37;106;;0,8483;0,0769;0;;125,6745556;1,040610711;4,64;4,8284337;0,006098151;;;3,886533414;;;;
2023Q1;129;225;0,37;105,6;;0,830833333;0,0713;0;;120,3902005;;;;0,0065245;;;;;;;
2023Q2;122,9772496;215;0,37;104;;;0,0683;0;;122,9772496;;;;0,00686854;;;;;;;
2023Q3;116,2072334;210;0,37;103;;;0,0653;0;;116,2072334;;;;0,007131643;;;;;;;
2023Q4;110,7688633;200;0,37;102;;;0,0623;0;;110,7688633;;;;0,007324507;;;;;;;
2024Q1;107,2014213;200;0,37;101;;;0,0593;0;;107,2014213;;;;0,007473871;;;;;;;
2024Q2;105,3408183;200;0,37;100;;;0,0563;0;;105,3408183;;;;0,007679991;;;;;;;
2024Q3;104,6687689;200;0,37;100;;;0,0533;0;;104,6687689;;;;0,007907212;;;;;;;
2024Q4;104,8274263;200;0,37;100;;;0,0503;;;104,8274263;;;;0,008462247;;;;;;;
;;;;;;;;;;;;;;0,009061796;;;;;;;
;;;4,91;;;0,724947623;0,030719965;;;;;;;0,009709187;;;;;;;
;;;4,151162791;0,84545067;;5,59;4,052457215;;;;;;;;;;;;;;
;;;;0,172189546;;;1,537542785;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;129;5;4,069767442;;;;;;;;;;;;;;;;
;;;105;x;0,813953488;;;;;;;;;;;;;;;;
